Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Kilograms,Steps,Note
2020-04-07,Fitbit calorie adjustment,Cardio,1024.0,1,,,,,
2020-04-08,Fitbit calorie adjustment,Cardio,1103.0,1,,,,,
2020-04-09,Fitbit calorie adjustment,Cardio,1202.0,1,,,,,
2020-04-10,Fitbit calorie adjustment,Cardio,1755.0,1,,,,,
2020-04-11,Fitbit calorie adjustment,Cardio,1580.0,1,,,,,
2020-04-12,Fitbit calorie adjustment,Cardio,1835.0,1,,,,,
2020-04-13,Fitbit calorie adjustment,Cardio,1172.0,1,,,,,
2020-04-14,Fitbit calorie adjustment,Cardio,1426.0,1,,,,,
2020-04-15,Fitbit calorie adjustment,Cardio,786.0,1,,,,,
2020-04-16,Fitbit calorie adjustment,Cardio,1877.0,1,,,,,
2020-04-17,Fitbit calorie adjustment,Cardio,1987.0,1,,,,,
2020-04-18,Fitbit calorie adjustment,Cardio,1871.0,1,,,,,
2020-04-19,Fitbit calorie adjustment,Cardio,2266.0,1,,,,,
2020-04-20,Fitbit calorie adjustment,Cardio,1729.0,1,,,,,
2020-04-21,Fitbit calorie adjustment,Cardio,2073.0,1,,,,,
2020-04-22,Fitbit calorie adjustment,Cardio,874.0,1,,,,,
2020-04-23,Fitbit calorie adjustment,Cardio,1759.0,1,,,,,
2020-04-24,Fitbit calorie adjustment,Cardio,830.0,1,,,,,
2020-04-25,Fitbit calorie adjustment,Cardio,1329.0,1,,,,,
2020-04-26,Fitbit calorie adjustment,Cardio,1456.0,1,,,,,
2020-04-27,Fitbit calorie adjustment,Cardio,1732.0,1,,,,,
2020-04-28,Fitbit calorie adjustment,Cardio,755.0,1,,,,,
2020-04-29,Fitbit calorie adjustment,Cardio,1168.0,1,,,,,
2020-04-30,Fitbit calorie adjustment,Cardio,2172.0,1,,,,,
2020-05-01,Fitbit calorie adjustment,Cardio,1739.0,1,,,,,
2020-05-02,Fitbit calorie adjustment,Cardio,1647.0,1,,,,,
2020-05-03,Fitbit calorie adjustment,Cardio,1251.0,1,,,,,
2020-05-04,Fitbit calorie adjustment,Cardio,1085.0,1,,,,,
2020-05-05,Fitbit calorie adjustment,Cardio,1075.0,1,,,,,
