Date,Fitbit steps,Fitbit tracked sleep minutes,Weight
2020-02-14,,,87.0
2020-04-07,22313.0,,88.0
2020-04-08,24473.0,604.0,
2020-04-09,23053.0,460.0,
2020-04-10,33544.0,475.0,
2020-04-11,31066.0,398.0,87.5
2020-04-12,37468.0,421.0,
2020-04-13,24194.0,404.0,
2020-04-14,26333.0,410.0,
2020-04-15,19474.0,379.0,
2020-04-16,35642.0,354.0,
2020-04-17,34549.0,355.0,
2020-04-18,36689.0,439.0,
2020-04-19,39035.0,463.0,
2020-04-20,34209.0,280.0,86.8
2020-04-21,35976.0,249.0,
2020-04-22,23157.0,472.0,
2020-04-23,30521.0,528.0,
2020-04-24,21284.0,458.0,
2020-04-25,24890.0,385.0,
2020-04-26,30601.0,,
2020-04-27,29883.0,,85.6
2020-04-28,21602.0,484.0,
2020-04-29,27650.0,299.0,
2020-04-30,36157.0,413.0,
2020-05-01,35527.0,,
2020-05-02,31236.0,398.0,
2020-05-03,26968.0,432.0,
2020-05-04,27308.0,,84.5
2020-05-05,24092.0,469.0,
2020-05-06,30568.0,,
2020-05-07,31284.0,454.0,
2020-05-08,23393.0,463.0,
2020-05-09,26531.0,,
2020-05-10,27200.0,490.0,
2020-05-11,24084.0,403.0,83.6
2020-05-12,30090.0,441.0,
2020-05-13,30380.0,,
2020-05-14,44399.0,,
2020-05-15,29557.0,,
2020-05-16,29334.0,,
2020-05-17,32689.0,,
2020-05-18,27118.0,402.0,82.1
2020-05-19,40178.0,,
2020-05-20,46275.0,,
2020-05-21,30587.0,,
2020-05-22,30754.0,,
2020-05-23,39097.0,,
2020-05-24,50702.0,122.0,
2020-05-25,31691.0,185.0,
2020-05-26,38053.0,,82.0
2020-05-27,51879.0,,81.7
2020-05-28,39712.0,,81.4
2020-05-29,49488.0,,
2020-05-30,42270.0,,80.8
2020-05-31,43642.0,,80.4
2020-06-01,48449.0,,80.3
2020-06-02,53789.0,,80.2
2020-06-03,39226.0,,79.8
2020-06-04,51111.0,,
2020-06-05,57693.0,,
2020-06-06,52330.0,,
2020-06-07,60527.0,480.0,79.8
2020-06-08,42821.0,,79.8
2020-06-09,56129.0,126.0,
2020-06-10,56387.0,,79.6
2020-06-11,59232.0,,79.1
2020-06-12,67581.0,,78.6
2020-06-13,44077.0,,78.4
2020-06-14,59383.0,,77.0
2020-06-15,49952.0,134.0,
2020-06-16,52143.0,,
2020-06-17,58795.0,,
2020-06-18,58154.0,,
2020-06-19,53957.0,,
2020-06-20,41242.0,,
2020-06-21,31252.0,,
2020-06-22,58003.0,,76.9
2020-06-23,59500.0,,
2020-06-24,39461.0,,75.6
2020-06-25,59267.0,,
2020-06-26,55791.0,,
2020-06-27,62118.0,,
2020-06-28,45006.0,,
2020-06-29,61495.0,,76.6
2020-06-30,62747.0,,
2020-07-01,45679.0,,75.4
2020-07-02,44001.0,,
2020-07-03,46578.0,,
2020-07-04,53071.0,,
2020-07-05,53415.0,,
2020-07-06,44363.0,,
2020-07-07,42507.0,,
2020-07-08,34214.0,,
2020-07-09,43723.0,,
2020-07-10,47730.0,,
2020-07-11,53388.0,409.0,
2020-07-12,42567.0,,
2020-07-13,40792.0,86.0,75.7
2020-07-14,49992.0,,
2020-07-15,31611.0,,75.1
2020-07-16,42484.0,,74.9
2020-07-17,52979.0,72.0,74.8
2020-07-18,36401.0,,
2020-07-19,47678.0,,74.7
2020-07-20,33017.0,,
2020-07-21,44448.0,,
2020-07-22,40191.0,,
2020-07-23,55518.0,275.0,74.5
2020-07-24,41193.0,,
2020-07-25,38971.0,120.0,
2020-07-26,32408.0,,
2020-07-27,49456.0,157.0,
2020-07-28,51425.0,,
2020-07-29,51453.0,,74.2
2020-07-30,54708.0,67.0,
2020-07-31,53695.0,,
2020-08-01,45239.0,,72.7
2020-08-02,39809.0,505.0,
2020-08-03,45350.0,,
2020-08-04,40853.0,,
2020-08-05,46294.0,,
2020-08-06,41349.0,,
2020-08-07,56939.0,,
2020-08-08,43388.0,563.0,
2020-08-09,49528.0,,
2020-08-10,48808.0,,
2020-08-11,42268.0,,
2020-08-12,54812.0,,
2020-08-13,41596.0,,74.1
2020-08-14,38041.0,,73.4
2020-08-15,45511.0,,
2020-08-16,33545.0,,
2020-08-17,33151.0,,
2020-08-18,38197.0,,
2020-08-19,40907.0,73.0,73.9
2020-08-20,42431.0,,
2020-08-21,40113.0,,74.0
2020-08-22,38865.0,,
2020-08-23,40422.0,,
2020-08-24,45513.0,,
2020-08-25,29956.0,,
2020-08-26,39650.0,,74.1
2020-08-27,37820.0,,
2020-08-28,30321.0,,
2020-08-29,45973.0,,
2020-08-30,46415.0,,
2020-08-31,40501.0,,
2020-09-01,43542.0,,
2020-09-02,47334.0,,75.3
2020-09-03,44377.0,,74.5
2020-09-04,37955.0,,
2020-09-05,64357.0,,
2020-09-06,49978.0,,
2020-09-07,49364.0,,
2020-09-08,50189.0,,
2020-09-09,20239.0,,
2020-09-10,48486.0,,
2020-09-11,33532.0,,
2020-09-12,50089.0,,
2020-09-13,42861.0,,
2020-09-14,40004.0,,
2020-09-15,43992.0,,75.4
2020-09-16,44573.0,,
2020-09-17,47365.0,,
2020-09-18,58488.0,,
2020-09-19,56666.0,399.0,
2020-09-20,36371.0,,
2020-09-21,47530.0,,74.7
2020-09-22,50559.0,,
2020-09-23,55484.0,,
2020-09-24,29585.0,,
2020-09-25,36403.0,,
2020-09-26,58322.0,71.0,
2020-09-27,43856.0,,
2020-09-28,39069.0,,73.1
2020-09-29,39171.0,174.0,
2020-09-30,40488.0,,72.5
2020-10-01,51830.0,83.0,
2020-10-02,29961.0,,
2020-10-03,46952.0,,
2020-10-04,41216.0,171.0,
2020-10-05,45450.0,,
2020-10-06,49898.0,,
2020-10-07,50171.0,173.0,
2020-10-08,46654.0,,
2020-10-09,38861.0,375.0,
2020-10-10,59980.0,198.0,
2020-10-11,55312.0,,
2020-10-12,41354.0,,73.6
2020-10-13,32763.0,91.0,
2020-10-14,44180.0,,
2020-10-15,38898.0,,
2020-10-16,53556.0,343.0,
2020-10-17,65235.0,,
2020-10-18,23964.0,,
2020-10-19,51808.0,,
2020-10-20,47921.0,,
2020-10-21,55909.0,106.0,
2020-10-22,59223.0,,
2020-10-23,57005.0,77.0,
2020-10-24,38169.0,,
2020-10-25,5293.0,,
2020-10-26,34290.0,,
2020-10-27,37230.0,,74.9
2020-10-28,53784.0,,
2020-10-29,37073.0,559.0,
2020-10-30,44761.0,,
2020-10-31,51002.0,243.0,
2020-11-01,60646.0,186.0,
2020-11-02,41526.0,,
2020-11-03,34853.0,325.0,
